quad,cell,plno,emerge,yeart,age,st,lst,st1,lst1,sizeage,gr
5,21,47,1,1,1,10,2.3,70,4.25,2.3,1.95
8,4,59,1,1,1,17,2.83,20,3,2.83,0.16
8,4,58,1,1,1,11,2.4,28,3.33,2.4,0.93
72,8,540,1,1,1,10,2.3,25,3.22,2.3,0.92
74,16,541,1,1,1,45,3.81,45,3.81,3.81,0
74,24,543,1,1,1,25,3.22,30,3.4,3.22,0.18
8,3,57,2,2,1,25,3.22,45,3.81,3.22,0.59
9,14,67,1,2,2,65,4.17,95,4.55,8.35,0.38
9,23,74,1,2,2,45,3.81,110,4.7,7.61,0.89
15,24,96,1,2,2,12,2.48,16,2.77,4.97,0.29
15,24,97,1,2,2,14,2.64,20,3,5.28,0.36
16,18,98,2,2,1,9,2.2,20,3,2.2,0.8
20,5,104,2,2,1,25,3.22,76,4.33,3.22,1.11
27,101,143,2,2,1,32,3.47,70,4.25,3.47,0.78
28,21,151,2,2,1,55,4.01,76,4.33,4.01,0.32
29,3,153,2,2,1,27,3.3,45,3.81,3.3,0.51
32,10,161,2,2,1,25,3.22,26,3.26,3.22,0.04
33,14,167,2,2,1,10,2.3,30,3.4,2.3,1.1
40,17,251,2,2,1,44,3.78,70,4.25,3.78,0.46
41,5,259,2,2,1,28,3.33,46,3.83,3.33,0.5
41,5,260,2,2,1,32,3.47,66,4.19,3.47,0.72
42,6,344,2,2,1,26,3.26,50,3.91,3.26,0.65
42,22,368,2,2,1,25,3.22,55,4.01,3.22,0.79
44,17,377,2,2,1,26,3.26,44,3.78,3.26,0.53
55,2,405,2,2,1,29,3.37,44,3.78,3.37,0.42
57,10,423,2,2,1,18,2.89,25,3.22,2.89,0.33
57,10,425,2,2,1,25,3.22,30,3.4,3.22,0.18
57,10,422,2,2,1,18,2.89,39,3.66,2.89,0.77
57,10,424,2,2,1,20,3,40,3.69,3,0.69
57,10,426,2,2,1,23,3.14,64,4.16,3.14,1.02
58,2,437,2,2,1,32,3.47,55,4.01,3.47,0.54
58,4,440,2,2,1,35,3.56,20,3,3.56,-0.56
58,24,453,2,2,1,15,2.71,27,3.3,2.71,0.59
61,17,495,2,2,1,22,3.09,66,4.19,3.09,1.1
72,8,540,1,2,2,25,3.22,64,4.16,6.44,0.94
74,16,541,1,2,2,45,3.81,80,4.38,7.61,0.58
77,8,554,2,2,1,30,3.4,67,4.2,3.4,0.8
80,9,637,2,2,1,16,2.77,36,3.58,2.77,0.81
83,20,755,2,2,1,37,3.61,65,4.17,3.61,0.56
93,9,994,2,2,1,20,3,25,3.22,3,0.22
95,109,1001,2,2,1,34,3.53,55,4.01,3.53,0.48
27,101,143,2,3,2,70,4.25,60,4.09,8.5,-0.15
41,5,259,2,3,2,46,3.83,25,3.22,7.66,-0.61
41,5,260,2,3,2,66,4.19,50,3.91,8.38,-0.28
42,6,344,2,3,2,50,3.91,52,3.95,7.82,0.04
58,24,453,2,3,2,27,3.3,24,3.18,6.59,-0.12
83,22,766,3,3,1,50,3.91,54,3.99,3.91,0.08
9,14,68,4,4,1,10,2.3,15,2.71,2.3,0.41
9,20,72,4,4,1,18,2.89,28,3.33,2.89,0.44
9,20,73,4,4,1,18,2.89,28,3.33,2.89,0.44
9,24,77,4,4,1,14,2.64,18,2.89,2.64,0.25
10,12,81,4,4,1,12,2.48,38,3.64,2.48,1.15
13,21,83,4,4,1,23,3.14,38,3.64,3.14,0.5
36,1,194,4,4,1,12,2.48,25,3.22,2.48,0.73
41,5,259,2,4,3,25,3.22,35,3.56,9.66,0.34
44,17,378,4,4,1,16,2.77,17,2.83,2.77,0.06
58,1,436,2,4,3,31,3.43,60,4.09,10.3,0.66
59,105,459,4,4,1,42,3.74,67,4.2,3.74,0.47
83,22,766,3,4,2,54,3.99,70,4.25,7.98,0.26
95,3,1000,1,4,4,55,4.01,57,4.04,16.03,0.04
4,22,44,5,5,1,33,3.5,38,3.64,3.5,0.14
10,12,81,4,5,2,38,3.64,42,3.74,7.28,0.1
10,14,82,5,5,1,22,3.09,37,3.61,3.09,0.52
13,21,83,4,5,2,38,3.64,45,3.81,7.28,0.17
14,18,92,5,5,1,29,3.37,35,3.56,3.37,0.19
28,19,150,5,5,1,43,3.76,47,3.85,3.76,0.09
36,1,194,4,5,2,25,3.22,37,3.61,6.44,0.39
41,5,259,2,5,4,35,3.56,22,3.09,14.22,-0.46
44,17,378,4,5,2,17,2.83,21,3.04,5.67,0.21
58,3,438,5,5,1,30,3.4,50,3.91,3.4,0.51
62,11,499,5,5,1,30,3.4,50,3.91,3.4,0.51
67,19,526,5,5,1,80,4.38,88,4.48,4.38,0.1
77,8,554,2,5,4,55,4.01,70,4.25,16.03,0.24
78,16,601,4,5,2,73,4.29,80,4.38,8.58,0.09
95,3,1000,1,5,5,57,4.04,70,4.25,20.22,0.21
4,22,44,5,6,2,38,3.64,55,4.01,7.28,0.37
10,12,81,4,6,3,42,3.74,85,4.44,11.21,0.7
13,21,83,4,6,3,45,3.81,85,4.44,11.42,0.64
14,18,92,5,6,2,35,3.56,60,4.09,7.11,0.54
28,19,150,5,6,2,47,3.85,65,4.17,7.7,0.32
36,1,194,4,6,3,37,3.61,65,4.17,10.83,0.56
