yeart,age,size,lst,die
1,1,70,4.248,1
13,1,28,3.332,0
1,1,13,2.565,1
1,1,5,1.609,1
12,1,6,1.792,0
15,1,19,2.944,1
15,1,27,3.296,1
13,1,44,3.784,1
2,1,18,2.890,1
8,1,28,3.332,0
12,1,6,1.792,0
9,1,8,2.079,0
11,1,8,2.079,0
14,1,8,2.079,0
9,1,8,2.079,0
11,1,8,2.079,0
12,1,8,2.079,0
2,1,28,3.332,0
11,1,8,2.079,0
13,1,28,3.332,0
8,1,28,3.332,0
13,1,40,3.689,1
11,1,30,3.401,0
3,1,30,3.401,1
8,1,29,3.367,0
15,1,22,3.091,1
11,1,10,2.303,1
11,1,14,2.639,1
11,1,10,2.303,1
12,1,30,3.401,0
9,1,30,3.401,0
15,1,25,3.219,1
15,1,33,3.497,1
15,1,22,3.091,1
11,1,28,3.332,0
15,1,28,3.332,1
12,1,29,3.367,0
2,1,29,3.367,0
5,1,29,3.367,0
15,1,28,3.332,0
14,1,28,3.332,0
2,1,9,2.197,0
14,1,10,2.303,0
14,1,10,2.303,0
7,1,10,2.303,0
6,1,10,2.303,0
13,1,10,2.303,0
1,1,10,2.303,0
11,1,10,2.303,0
13,1,10,2.303,0
11,1,10,2.303,0
14,1,10,2.303,0
4,1,12,2.485,0
8,1,27,3.296,0
12,1,12,2.485,0
6,1,12,2.485,0
12,1,27,3.296,0
11,1,10,2.303,0
6,1,10,2.303,0
1,1,11,2.398,0
4,1,12,2.485,0
15,1,28,3.332,0
14,1,10,2.303,0
12,1,10,2.303,0
12,1,10,2.303,0
11,1,10,2.303,0
11,1,10,2.303,0
2,1,10,2.303,0
1,1,10,2.303,0
12,1,28,3.332,0
4,1,10,2.303,0
12,1,10,2.303,0
11,1,10,2.303,0
11,1,10,2.303,0
11,1,10,2.303,0
11,1,10,2.303,0
9,1,10,2.303,0
11,1,10,2.303,0
11,1,10,2.303,0
6,1,10,2.303,0
7,1,10,2.303,0
7,1,10,2.303,0
11,1,10,2.303,0
9,1,10,2.303,1
8,1,31,3.434,0
7,1,12,2.485,1
8,1,31,3.434,0
14,1,40,3.689,1
14,1,31,3.434,0
9,1,40,3.689,1
12,1,31,3.434,0
14,1,46,3.829,1
8,1,31,3.434,0
14,1,30,3.401,0
14,1,22,3.091,1
11,1,30,3.401,0
9,1,23,3.135,1
12,1,30,3.401,0
14,1,15,2.708,1
14,1,30,3.401,1
13,1,30,3.401,0
14,1,20,2.996,1
8,1,30,3.401,0
14,1,10,2.303,1
2,1,32,3.466,0
3,1,24,3.178,1
2,1,32,3.466,0
11,1,20,2.996,1
11,1,25,3.219,1
7,1,20,2.996,1
11,1,10,2.303,1
7,1,25,3.219,1
13,1,20,2.996,1
2,1,32,3.466,0
14,1,15,2.708,1
13,1,18,2.890,1
9,1,30,3.401,1
15,1,25,3.219,1
11,1,15,2.708,1
7,1,20,2.996,1
11,1,20,2.996,1
7,1,20,2.996,1
14,1,32,3.466,0
14,1,32,3.466,0
14,1,13,2.565,1
14,1,15,2.708,1
7,1,30,3.401,0
15,1,10,2.303,1
14,1,42,3.738,1
11,1,15,2.708,1
9,1,25,3.219,1
